Date,ProjectID,Name,Category,USD_Pledged,Backers,Min_Price,Tiers,URL
2026-09-12,1256938972,AirCannon GPX: UNLEASH 118MPH POWER. THE MONSTER BLOWER,Hardware,311427.0,1806,1.0,23,https://www.kickstarter.com/projects/magpietech/aircannon-gpx-unleash-118mph-power-the-monster-blower
2026-09-12,2135336903,MAKERphone 2.0 - an educational DIY mobile phone,DIY Electronics,164733.0,987,1.0,42,https://www.kickstarter.com/projects/albertgajsak/makerphone-20-an-educational-diy-mobile-phone
2026-09-12,577899556,AIVU - 1st Custom AI Models & Object Recognition AI Glasses,Gadgets,143589.0,365,1.0,4,https://www.kickstarter.com/projects/816687468/aivu-1st-ai-object-recognition-privacy-waveguide-glasses
2026-09-12,1841814277,BirdieSense: Your Golf's First AI Companion!,Robots,660941.0,627,1.0,7,https://www.kickstarter.com/projects/1054191270/birdiesense-your-golfs-first-ai-companion
2026-09-12,1903899538,The World's Smallest AI Calorie Scale in Your Pocket,Gadgets,13355.49,77,10.0,11,https://www.kickstarter.com/projects/calbank/the-worlds-smallest-ai-calorie-scale-in-your-pocket
2026-09-13,1256938972,AirCannon GPX: UNLEASH 118MPH POWER. THE MONSTER BLOWER,Hardware,329264.0,1901,129.0,23,https://www.kickstarter.com/projects/magpietech/aircannon-gpx-unleash-118mph-power-the-monster-blower
2026-09-13,2135336903,MAKERphone 2.0 - an educational DIY mobile phone,DIY Electronics,236602.0,1384,99.0,49,https://www.kickstarter.com/projects/albertgajsak/makerphone-20-an-educational-diy-mobile-phone
2026-09-13,577899556,AIVU - 1st Custom AI Models & Object Recognition AI Glasses,Gadgets,142941.0,363,399.0,4,https://www.kickstarter.com/projects/816687468/aivu-1st-ai-object-recognition-privacy-waveguide-glasses
2026-09-13,1841814277,BirdieSense: Your Golf's First AI Companion!,Robots,696164.0,663,35.0,7,https://www.kickstarter.com/projects/1054191270/birdiesense-your-golfs-first-ai-companion
2026-09-13,1500870645,FernSnap: AI Plant Time-Lapse Camera,Camera Equipment,13392.01,115,777.0,10,https://www.kickstarter.com/projects/fernsnapgrowlight/fernsnap-time-lapse-grow-light-for-plant-parents
